,fips_code,blue_percentage
2046,18031.0,0.1906174170935562
2049,18033.0,0.23322683706070288
2052,18035.0,0.4023003789641646
2055,18037.0,0.26966573258606885
2058,18039.0,0.3160140179795825
2061,18041.0,0.23630640083945437
2064,18043.0,0.37261189044756177
2067,18045.0,0.19701014415376403
2070,18047.0,0.17878870425860346
2073,18049.0,0.2340577979460234
2076,18051.0,0.24031258072849393
2079,18053.0,0.27694374209860934
2082,18055.0,0.21223099775378595
2085,18057.0,0.37122056840576706
2088,18059.0,0.24609601724662117
2091,18061.0,0.257732514279556
2094,18063.0,0.29910401143477283
2097,18065.0,0.2542297196725378
2100,18067.0,0.3043997502917786
2103,18069.0,0.2185376799850402
2106,18071.0,0.21868775963125248
2109,18073.0,0.24884138137240244
2112,18075.0,0.2365389431505134
2115,18077.0,0.3194034258712345
2118,18079.0,0.21201793721973095
2121,18081.0,0.26042105263157894
2124,18083.0,0.24310389275586491
2127,18085.0,0.19676474255080414
2130,18087.0,0.2174367551745766
